,campus_id,campus_name,dept,difficulty,name,quality,rating_count,retake,tag_accessibleoutsideclass,tag_amazinglectures,tag_bewareofpopquizzes,tag_caring,tag_cleargradingcriteria,tag_extracredit,tag_getreadytoread,tag_givesgoodfeedback,tag_gradedbyfewthings,tag_groupprojects,tag_hilarious,tag_inspirational,tag_lectureheavy,tag_lotsofhomework,tag_participationmatters,tag_respected,tag_skipclassyouwon'tpass,tag_somanypapers,tag_testheavy,tag_toughgrader
0,135,Brigham Young University,Finance,3.4,Jim Brau,4.2,5318,92%,246,858,9,677,883,69,417,153,689,1,1022,2451,297,110,80,1354,983,1,1450,504
1,135,Brigham Young University,Family Life,2.7,Edward Jeffrey Hill,4.4,2888,93%,95,783,1,906,707,996,144,95,35,,400,1123,137,278,150,804,103,221,114,107
2,1516,University of Texas at San Antonio,Economics,2.8,Edmund Luquette,4.2,2232,67%,2,7,6,22,4,8,16,5,,,43,5,7,8,25,20,28,,,21
3,1754,Brigham Young University - Idaho,Biology,2.8,Alan Holyoak,4.0,1817,85%,90,107,14,146,128,24,158,78,20,94,42,129,159,79,177,216,126,,75,121
4,1435,University of Lethbridge,Management,2.5,Jim Clark,4.5,1621,98%,50,196,40,182,267,732,158,232,49,394,322,85,10,6,271,497,134,,84,47
5,2639,Palm Beach State College (all campuses),Anatomy,3.0,Jairo Garcia,4.3,1591,87%,6,69,87,156,104,567,51,241,24,3,40,270,85,6,151,277,337,,17,149
6,1364,Northern Arizona University,Anthropology,2.6,Britton Shepardson,4.5,1491,95%,122,292,8,165,464,253,58,336,30,44,272,201,179,139,91,545,89,2,7,118
7,4288,University of Nevada - Reno,Information Systems,2.3,Adam Reed,4.4,1433,97%,112,54,21,279,638,204,4,312,68,15,41,99,108,92,48,494,65,4,7,127
8,2193,Imperial Valley College,Computer Information Systems,2.1,Andres Martinez,4.5,1432,97%,73,109,5,169,211,80,57,260,18,15,206,86,11,26,143,285,52,1,10,19
9,2746,Rio Hondo College,Computer Information Tech.,2.1,Shin Liu,4.5,1342,97%,73,71,6,264,300,519,43,321,10,55,163,148,33,102,189,292,277,1,4,16
10,4413,Estrella Mountain Community College,Mathematics,3.6,Andrew Burch,3.5,1320,67%,57,60,4,91,224,28,20,147,8,4,39,18,106,462,113,72,228,29,96,255
11,2160,Herkimer County Community College,Psychology,3.3,William Pelz,4.2,1285,91%,4,1,,11,109,4,54,72,5,1,3,5,3,55,178,41,29,4,,50
12,2390,Los Medanos College,Dramatic Arts,2.9,Joanna Perry-Folino,4.1,1270,84%,9,7,,65,80,13,177,124,2,16,2,29,10,238,182,24,16,52,,15
13,2389,Los Angeles Valley College,Accounting,2.9,James Powder,4.3,1268,90%,28,51,,29,131,145,131,88,14,,115,74,35,17,28,88,61,2,46,51
14,457,James Madison University,Psychology,3.0,David B. Daniel,4.7,1144,86%,14,98,2,9,1,4,73,12,6,2,109,17,29,4,1,46,71,1,20,31
15,2988,Victor Valley College,Biology,3.2,Hinrich Kaiser,4.4,1019,93%,65,90,5,117,195,124,70,255,17,71,65,63,107,128,164,273,135,5,75,121
16,1413,University of British Columbia,Economics,3.8,Robert Gateman,3.8,1011,53%,,45,1,3,3,1,32,2,14,6,51,26,18,1,2,25,46,7,26,79
17,1391,University of Arkansas,Music,1.9,Thomas Kabin,4.2,1007,N/A,1,1,,,1,2,,,,,1,1,,,,1,,,,1
18,1,Abilene Christian University,Psychology,2.1,Richard Beck,4.8,63,100%,1,15,,,,10,,1,,,19,4,1,,,8,,,3,
19,1,Abilene Christian University,English,3.7,Carol Evans,2.8,48,39%,,,2,3,3,,4,6,1,1,1,,,9,7,1,7,13,2,29
20,1,Abilene Christian University,History,3.7,Mark Cullum,3.2,45,83%,,1,1,1,1,,2,2,,,2,2,4,,,2,3,,1,5
21,1,Abilene Christian University,"Bible, Missions & Ministry",1.8,Jerry Taylor,3.8,45,75%,,4,,1,1,,5,,2,13,7,3,8,,5,8,3,,,
22,1,Abilene Christian University,English,2.6,Steven Moore,4.7,45,100%,,6,1,5,,,3,5,,,4,12,,,4,8,,,,2
23,1,Abilene Christian University,"Bible, Missions & Ministry",2.3,Anthony Ash,4.0,40,N/A,,,,,,,1,,,,1,2,3,,,1,1,,,
24,1,Abilene Christian University,History,2.6,Dawn Alexander-Payne,3.2,37,N/A,,,,,,,,,,,,,,,,,,,,
25,1,Abilene Christian University,"Bible, Missions & Ministry",3.1,Randy Harris,4.5,36,N/A,,4,,2,,,3,,,,2,4,,,,4,,,,
26,1,Abilene Christian University,English,3.9,Joe Stephenson,3.2,34,50%,,3,5,2,,,10,7,,,3,,,3,2,1,4,3,,13
27,1,Abilene Christian University,English,2.2,Stephen Weathers,4.8,33,100%,1,8,2,3,2,,3,7,1,,11,2,,,,4,,,,
